Statement,Line_Item,Note_No,Fiscal_Year,Current_Year_Value,Prior_Year_Value
Profit_and_Loss,(i) Items that will not be reclassifie d to Profit or L oss,,FY2025,,
Profit_and_Loss,(a) Remeasurement Gains / (Losse s) on Defined Benefit Plan,,FY2025,-34.0,1.0
Profit_and_Loss,(b) Gains / (Losses) on Equity Inst ruments throu gh Other Comprehensive In come,,FY2025,-7326.0,-8851.0
Profit_and_Loss,(ii) Tax related to abo ve,,FY2025,,
Profit_and_Loss,Total Other Compreh ensive Incom e / (Expense) (X),,FY2025,-7360.0,-8850.0
Profit_and_Loss,(XI) Total Comprehensiv e Income / (E xpense) (IX+X),,FY2025,2673.0,39276.0
Profit_and_Loss,(XII) Earnings per Equity Share (Face v alue of ` 1/- e ach)(Previous year ` 10/- each),28,FY2025,,
Profit_and_Loss,- Basic and Diluted Earnings per Equity share,,FY2025,100.33,13.35
Cash_Flow,A. Cash Flows from Op erating Activit ies,,FY2025,,
Cash_Flow,Profit / (Loss) Before Tax,,FY2025,10036.0,48146.0
Cash_Flow,Adjustments for :,,FY2025,,
Cash_Flow,Liabilities No Longer Required writt en back,,FY2025,-1.0,-2.0
Cash_Flow,Finance Cost,,FY2025,15.0,3.0
Cash_Flow,Finance Income,,FY2025,-2.0,
Cash_Flow,Impairment on Finan cial Instrumen ts (Net),,FY2025,-224.0,1355.0
Cash_Flow,Profit on Investment in Scheme of Mutual Fund,,FY2025,-58.0,
Cash_Flow,Net gain on fair value changes,,FY2025,-992.0,
Cash_Flow,Claim For Business R ationalisation Cost,,FY2025,-10000.0,-50000.0
Cash_Flow,"Depreciation, Amorti sation and Imp airment",,FY2025,271.0,234.0
Cash_Flow,Operating profit / (lo ss) before wo rking capital changes,,FY2025,-954.0,-264.0
Cash_Flow,Changes in Working Capital,,FY2025,,
Cash_Flow,Adjustments for :,,FY2025,,
Cash_Flow,(Increase) / Decrease in Trade Rece ivables and O thers Assets,,FY2025,7769.0,29740.0
Cash_Flow,Increase / (Decrease) in Trade Paya bles and Oth ers Liabilities,,FY2025,344.0,-340.0
Cash_Flow,Increase/ (Decrease) in Other Bank Balances,,FY2025,4.0,175.0
Cash_Flow,Cash generated / (us ed) in operati ons,,FY2025,7163.0,29311.0
Cash_Flow,Direct Taxes Refund / (Paid),,FY2025,-233.0,-67.0
Cash_Flow,Net Cash (used in) / generated fro m Operating Activities,,FY2025,6930.0,29244.0
Cash_Flow,B. Cash Flows from Inv esting Activiti es],,FY2025,,
Cash_Flow,"Purchase of Property , Plant and Eq uipment, and Intangible Assets",,FY2025,-160.0,-2.0
Cash_Flow,Intangible Assets Un der Developme nt,,FY2025,-632.0,
Cash_Flow,Profit on Sale of Righ t Entitlement,,FY2025,139.0,
Cash_Flow,(Increase) / Decrease in Investmen ts (Other than Subsidiaries),,FY2025,-19072.0,
Cash_Flow,Net Cash (used in) / generated fro m Investing Activities,,FY2025,-19725.0,-2.0
Cash_Flow,C. Cash Flows from Fin ancing Activit ies,,FY2025,,
Cash_Flow,Increase / (Decrease) in Equity Sha re Capital,,FY2025,,70.0
Cash_Flow,Repayment of Lease,,FY2025,-34.0,
Cash_Flow,Finance Cost on Leas e,,FY2025,-15.0,-3.0
Cash_Flow,Net Cash (used in) / generated fro m Financing Activities,,FY2025,-49.0,67.0
Cash_Flow,Net Increase / (Decr ease) in Cash and Cash Eq uivalents,,FY2025,-12845.0,29309.0
Cash_Flow,Cas h and Cash Equivale nts at the beg inning of the year,,FY2025,33028.0,3719.0
Cash_Flow,Cas h and Cash Equivale nts at the end of the year,,FY2025,20184.0,33028.0
Cash_Flow,Cas h and Cash Equivale nts at the end of the year c omprises of:,,FY2025,,
Cash_Flow,P articulars,"Note
No. Ma",FY2025,,31202.0
Cash_Flow,Cas h and Cash Equivale nts at the end of the year,,FY2025,,
Cash_Flow,(a) Cash on hand,,FY2025,,
Cash_Flow,(b) Balances with Banks - in Current A ccount,,FY2025,161.0,259.0
Cash_Flow,(c) Fixed Deposits with o riginal maturit y period less than three months,,FY2025,20023.0,32769.0
