Statement,Line_Item,Note_No,Fiscal_Year,Current_Year_Value,Prior_Year_Value
Balance_Sheet,ASSETS,,FY2025,,
Balance_Sheet,(1) Financial As sets,,FY2025,,
Balance_Sheet,(a) Cash and Cas h Equivalents,2,FY2025,20184.0,33028.0
Balance_Sheet,(b) Bank Balance other than (a) a bove,3,FY2025,94.0,90.0
Balance_Sheet,(c) Receivables,,FY2025,,
Balance_Sheet,- Trade Recei vables,4,FY2025,235.0,649.0
Balance_Sheet,(d) Investments,5,FY2025,46714.0,33918.0
Balance_Sheet,(e) Other Financi al Assets,6,FY2025,22594.0,20153.0
Balance_Sheet,(2) Non-Financi al Assets,,FY2025,,
Balance_Sheet,(a) Current Tax A ssets (Net),8,FY2025,5611.0,5379.0
Balance_Sheet,(b) Deferred Tax Assets (Net),9,FY2025,,
Balance_Sheet,"(c) Property, Pla nt and Equipmen t",10,FY2025,7454.0,8957.0
Balance_Sheet,(d) Right-of-use Assets,46,FY2025,344.0,1.0
Balance_Sheet,(e) Intangible As sets,11(a),FY2025,,1.0
Balance_Sheet,(f) Intangible As sets Under Deve lopment,11(b),FY2025,632.0,
Balance_Sheet,(g) Other Non-Fi nancial Assets,7,FY2025,339.0,136.0
Balance_Sheet,(3) Non-Current Asset Held For S ale,12,FY2025,1424.0,
Balance_Sheet,TOTAL ASSETS,,FY2025,105625.0,102312.0
Balance_Sheet,LIABILITIES AND EQUITY,,FY2025,,
Balance_Sheet,LIABILITIES,,FY2025,,
Balance_Sheet,(1) Financial Lia bilities,,FY2025,,
Balance_Sheet,(a) Trade Payabl es,13,FY2025,,
Balance_Sheet,(i) Total out standing dues of micro enterprises and small enterprises,,FY2025,,6.0
Balance_Sheet,(ii) Total out standing dues of creditors other tha n micro enterprises and sma ll enterprises,,FY2025,168.0,140.0
Balance_Sheet,(b) Borrowings ( Other than Debt Securities),14,FY2025,,
Balance_Sheet,(c) Subordinated Liabilities,15,FY2025,,
Balance_Sheet,(d) Lease Liabilit ies,46,FY2025,331.0,1.0
Balance_Sheet,(e) Other Financi al Liabilities,16,FY2025,415.0,268.0
Balance_Sheet,(2) Non-Financi al Liabilities,,FY2025,,
Balance_Sheet,(a) Provisions,17,FY2025,89.0,6.0
Balance_Sheet,(b) Deferred Tax Liabilities (Net),9,FY2025,,
Balance_Sheet,(c) Other Non-Fi nancial Liabilities,18,FY2025,125.0,67.0
Balance_Sheet,(3) Equity,,FY2025,,
Balance_Sheet,(a) Equity Share Capital,19,FY2025,100.0,100.0
Balance_Sheet,(b) Other Equity,20,FY2025,104397.0,101724.0
Balance_Sheet,TOTAL LIABI LITIES AND EQU ITY,,FY2025,105625.0,102312.0
Profit_and_Loss,Reve nue from Operations,,FY2025,,
Profit_and_Loss,(i) Interest Income,21,FY2025,1535.0,220.0
Profit_and_Loss,(ii) Rental Income,,FY2025,151.0,355.0
Profit_and_Loss,(iii) Fees and Commissio n Income,,FY2025,315.0,769.0
Profit_and_Loss,(iv) Profit on Investment in Scheme of Mutual Fund,22,FY2025,58.0,
Profit_and_Loss,(v) Net gain on fair value changes,22,FY2025,992.0,
Profit_and_Loss,(I) Total Revenue from Operations,,FY2025,3051.0,1344.0
Profit_and_Loss,(II) Other Income,23,FY2025,275.0,3.0
Profit_and_Loss,(III) Total Income (I+II),,FY2025,3325.0,1347.0
Profit_and_Loss,Expenses,,FY2025,,
Profit_and_Loss,(i) Finance Costs,24,FY2025,15.0,3.0
Profit_and_Loss,(ii) Fees and Commissio n Expense,,FY2025,267.0,425.0
Profit_and_Loss,(iii) Bad Debt / Impairme nt on Financia l Instruments (Net),25,FY2025,-224.0,1355.0
Profit_and_Loss,(iv) Employee Benefits Ex penses,26,FY2025,1748.0,226.0
Profit_and_Loss,"(v) Depreciation, Amorti sation and Im pairment Expe nse","10,11",FY2025,271.0,234.0
Profit_and_Loss,(vi) Administrative and O ther Expenses,27,FY2025,1212.0,958.0
Profit_and_Loss,(IV) Total Expenses (IV),,FY2025,3289.0,3201.0
Profit_and_Loss,(V) Profit / (Loss) Before Exceptional items and Tax (III-IV),,FY2025,36.0,-1854.0
Profit_and_Loss,(VI) Exceptional items,23.1,FY2025,10000.0,50000.0
Profit_and_Loss,(VII) Profit / (Loss) Before Tax (V-VI),,FY2025,10036.0,48146.0
Profit_and_Loss,(VIII) Tax:,,FY2025,,
Profit_and_Loss,(a) Current Tax,,FY2025,,
Profit_and_Loss,(b) Income Tax in r espect of earli er year,,FY2025,3.0,20.0
Profit_and_Loss,(c) Deferred Tax,,FY2025,,
Profit_and_Loss,(IX) Profit / (Loss) after T ax (VII-VIII),,FY2025,10033.0,48126.0
Profit_and_Loss,(X) Other Comprehensiv e Income / (E xpense),,FY2025,,
