Statement,Line_Item,Note_No,Fiscal_Year,Current_Year_Value,Prior_Year_Value
Balance_Sheet,ASSETS,,FY2022,,
Balance_Sheet,(1) Financial As sets,,FY2022,,
Balance_Sheet,(a) Cash an d Cash Equivale nts‘,2,FY2022,1100.0,1731.0
Balance_Sheet,(b) Bank Ba lance other than (a) above,3,FY2022,253.0,1998.0
Balance_Sheet,(c) Receiva bles,,FY2022,,
Balance_Sheet,(I) Tra de Receivables,4,FY2022,1078.0,1204.0
Balance_Sheet,(d) Investm ents,5,FY2022,28446.0,61185.0
Balance_Sheet,(e) Other Fi nancial Assets,6,FY2022,553.0,496.0
Balance_Sheet,(2) Non-Financ ial Assets,,FY2022,,
Balance_Sheet,(a) Current Tax Assets (Net),8,FY2022,7960.0,7488.0
Balance_Sheet,(b) Deferre d Tax Assets (Ne t),9,FY2022,,
Balance_Sheet,"(c) Propert y, Plant and Equ ipm ent",10,FY2022,9421.0,9655.0
Balance_Sheet,(d) Right-of -use Assets,,FY2022,1.0,1775.0
Balance_Sheet,(e) Intangib le Assets,11,FY2022,3.0,4.0
Balance_Sheet,(f) Other N on-Financial Ass ets,7,FY2022,162.0,213.0
Balance_Sheet,TOTAL ASSETS,,FY2022,48977.0,85749.0
Balance_Sheet,LIABILITIES AND EQUITY,,FY2022,,
Balance_Sheet,LIABILITIES,,FY2022,,
Balance_Sheet,(1) Financial Li abilities,,FY2022,,
Balance_Sheet,(a) Trade Pa yables,12,FY2022,,
Balance_Sheet,(i) Tot al outstanding d ues of micro en terpr ises and small enterprises,,FY2022,35.0,14.0
Balance_Sheet,(ii) Tot al outstanding d ues of creditors othe r than micro e nterprises and small enterprises,,FY2022,1100.0,367.0
Balance_Sheet,(b) Borrowi ngs (Other than Deb t Securitie s),13,FY2022,25723.0,28055.0
Balance_Sheet,(c) Subordi nated Liabilities,14,FY2022,33000.0,33000.0
Balance_Sheet,(d) Lease Li abilities,,FY2022,2.0,1994.0
Balance_Sheet,(e) Other Fi nancial Liabilitie s,15,FY2022,16377.0,18351.0
