Statement,Line_Item,Note_No,Fiscal_Year,Current_Year_Value,Prior_Year_Value
Balance_Sheet,ASSETS,,FY2021,,
Balance_Sheet,(1) Financial Asse ts,,FY2021,,
Balance_Sheet,(a) Cash and Cash Equiva lents,2,FY2021,1731.0,1078.0
Balance_Sheet,(b) Bank Bal ance other th an (a) above,3,FY2021,1998.0,303.0
Balance_Sheet,(c) Derivativ e Financial In struments,4,FY2021,,
Balance_Sheet,(d) Receivab les,,FY2021,,
Balance_Sheet,(I) Trade Receivables,5,FY2021,1204.0,2389.0
Balance_Sheet,(II) Other Receivables,,FY2021,,
Balance_Sheet,(e) Loans,6,FY2021,,
Balance_Sheet,(f) Investme nts,7,FY2021,61185.0,355301.0
Balance_Sheet,(g) Other Fin ancial Assets,8,FY2021,496.0,137.0
Balance_Sheet,(2) Non-Financial Assets,,FY2021,,
Balance_Sheet,(a) Current T ax Assets (Ne t),10,FY2021,7488.0,14454.0
Balance_Sheet,(b) Deferred Tax Assets (N et),11,FY2021,,
Balance_Sheet,"(c) Property, Plant and Eq uipment",12,FY2021,9655.0,9865.0
Balance_Sheet,(d) Right-of- use Assets,,FY2021,1775.0,2160.0
Balance_Sheet,(e) Capital W ork-in-Progre ss,,FY2021,,
Balance_Sheet,(f) Other Int angible Asset s,13,FY2021,4.0,6.0
Balance_Sheet,(g) Other No n-Financial A ssets,9,FY2021,213.0,369.0
Balance_Sheet,TOTAL ASSETS,,FY2021,85749.0,386062.0
Balance_Sheet,LIABILITIES A ND EQUITY,,FY2021,,
Balance_Sheet,LIABILITIES,,FY2021,,
Balance_Sheet,(1) Financial Liab ilities,,FY2021,,
Balance_Sheet,(a) Derivativ e Financial In struments,4,FY2021,,
Balance_Sheet,(b) Payables,,FY2021,,
Balance_Sheet,(i) Trade Payables,,FY2021,,
Balance_Sheet,(ii) Total outstanding dues of micro ent erprises an d small enterprises,14,FY2021,14.0,
Balance_Sheet,"(iii) Total
small outstanding
enterprises dues of creditors other than micro enterprises and",14,FY2021,367.0,337.0
Balance_Sheet,(c) Debt Sec urities,15,FY2021,,
Balance_Sheet,(d) Borrowin gs (Other tha n Debt Securities),16,FY2021,28055.0,45351.0
Balance_Sheet,(e) Subordin ated Liabilitie s,17,FY2021,33000.0,36075.0
